,id,movie,year,rating,genre,runtime,imdb,metascore,votes,review_quality
144,144,Predator,1987,R,"['Action', ' Adventure', ' Horror']",107,78,47,432329,2
145,145,Superman III,1983,PG,"['Action', ' Adventure', ' Comedy']",125,50,44,72080,0
146,146,Star Trek,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,79,82,609040,1
147,147,Moonfall,2022,PG-13,"['Action', ' Adventure', ' Sci-Fi']",130,51,41,86523,0
148,148,The Lego Movie,2014,PG,"['Animation', ' Action', ' Adventure']",100,77,83,365704,2
149,149,Godzilla vs. Kong,2021,PG-13,"['Action', ' Sci-Fi', ' Thriller']",113,63,59,217563,2
151,151,Wonder Woman,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",141,74,76,671055,1
152,152,Morbius,2022,PG-13,"['Action', ' Adventure', ' Horror']",104,52,35,134748,0
153,153,Signs,2002,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",106,68,59,371363,2
154,154,Thor: Ragnarok,2017,PG-13,"['Action', ' Adventure', ' Comedy']",130,79,74,770147,1
155,155,Under the Skin,2013,R,"['Drama', ' Horror', ' Mystery']",108,63,80,148455,2
156,156,Alien: Covenant,2017,R,"['Horror', ' Sci-Fi', ' Thriller']",122,64,65,288182,2
157,157,V for Vendetta,2005,R,"['Action', ' Drama', ' Sci-Fi']",132,82,62,1136508,1
158,158,WALL·E,2008,G,"['Animation', ' Adventure', ' Family']",98,84,95,1136135,1
159,159,A.I. Artificial Intelligence,2001,PG-13,"['Drama', ' Sci-Fi']",146,72,65,313654,2
160,160,Terminator Genisys,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,63,38,283290,0
161,161,Resident Evil,2002,R,"['Action', ' Horror', ' Sci-Fi']",100,66,33,277283,0
162,162,Passengers,2016,PG-13,"['Drama', ' Romance', ' Sci-Fi']",116,70,41,418594,0
163,163,X-Men: Days of Future Past,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,79,75,722417,1
164,164,TRON: Legacy,2010,PG,"['Action', ' Adventure', ' Sci-Fi']",125,68,49,344164,2
165,165,X-Men: First Class,2011,PG-13,"['Action', ' Sci-Fi']",131,77,65,702334,1
